frame,cluster_id,x,y,cluster_size,source_sample_index,source_local_cluster_id
11,1110474,1884.0,580.25,2,32426,0
11,1110475,1892.5,537.5,1,32426,1
11,1110476,1606.0,522.0,1,32427,0
11,1110477,1892.5,537.5,1,32427,1
11,1110478,1657.0,539.0,1,32427,2
11,1110479,1596.0,521.5,1,32427,3
11,1110480,1884.0,580.25,2,32428,0
11,1110481,1892.5,537.5,1,32428,1
11,1110482,1892.5,537.5,1,32429,0
11,1110483,1596.0,521.5,1,32429,1
11,1110484,1884.0,580.25,2,32429,2
11,1110485,1606.0,522.0,1,32429,3
11,1110486,1657.0,539.0,1,32430,0
11,1110487,1596.0,521.5,1,32430,1
11,1110488,1606.0,522.0,1,32430,2
11,1110489,1596.0,521.5,1,32431,0
11,1110490,1606.0,522.0,1,32431,1
11,1110491,1892.5,537.5,1,32431,2
11,1110492,1657.0,539.0,1,32431,3
11,1110493,1278.0,524.5,1,32432,0
21,1110474,1884.0,580.25,2,32426,0
21,1110475,1892.5,537.5,1,32426,1
21,1110476,1606.0,522.0,1,32427,0
21,1110477,1892.5,537.5,1,32427,1
21,1110478,1657.0,539.0,1,32427,2
21,1110479,1596.0,521.5,1,32427,3
21,1110480,1884.0,580.25,2,32428,0
21,1110481,1892.5,537.5,1,32428,1
21,1110482,1892.5,537.5,1,32429,0
21,1110483,1596.0,521.5,1,32429,1
21,1110484,1884.0,580.25,2,32429,2
21,1110485,1606.0,522.0,1,32429,3
21,1110486,1657.0,539.0,1,32430,0
21,1110487,1596.0,521.5,1,32430,1
21,1110488,1606.0,522.0,1,32430,2
21,1110489,1596.0,521.5,1,32431,0
21,1110490,1606.0,522.0,1,32431,1
21,1110491,1892.5,537.5,1,32431,2
21,1110492,1657.0,539.0,1,32431,3
21,1110493,1278.0,524.5,1,32432,0
31,1110474,1884.0,580.25,2,32426,0
31,1110475,1892.5,537.5,1,32426,1
31,1110476,1606.0,522.0,1,32427,0
31,1110477,1892.5,537.5,1,32427,1
31,1110478,1657.0,539.0,1,32427,2
31,1110479,1596.0,521.5,1,32427,3
31,1110480,1884.0,580.25,2,32428,0
31,1110481,1892.5,537.5,1,32428,1
31,1110482,1892.5,537.5,1,32429,0
31,1110483,1596.0,521.5,1,32429,1
31,1110484,1884.0,580.25,2,32429,2
31,1110485,1606.0,522.0,1,32429,3
31,1110486,1657.0,539.0,1,32430,0
31,1110487,1596.0,521.5,1,32430,1
31,1110488,1606.0,522.0,1,32430,2
31,1110489,1596.0,521.5,1,32431,0
31,1110490,1606.0,522.0,1,32431,1
31,1110491,1892.5,537.5,1,32431,2
31,1110492,1657.0,539.0,1,32431,3
31,1110493,1278.0,524.5,1,32432,0
41,1110474,1884.0,580.25,2,32426,0
41,1110475,1892.5,537.5,1,32426,1
41,1110476,1606.0,522.0,1,32427,0
41,1110477,1892.5,537.5,1,32427,1
41,1110478,1657.0,539.0,1,32427,2
41,1110479,1596.0,521.5,1,32427,3
41,1110480,1884.0,580.25,2,32428,0
41,1110481,1892.5,537.5,1,32428,1
41,1110482,1892.5,537.5,1,32429,0
41,1110483,1596.0,521.5,1,32429,1
41,1110484,1884.0,580.25,2,32429,2
41,1110485,1606.0,522.0,1,32429,3
41,1110486,1657.0,539.0,1,32430,0
41,1110487,1596.0,521.5,1,32430,1
41,1110488,1606.0,522.0,1,32430,2
41,1110489,1596.0,521.5,1,32431,0
41,1110490,1606.0,522.0,1,32431,1
41,1110491,1892.5,537.5,1,32431,2
41,1110492,1657.0,539.0,1,32431,3
41,1110493,1278.0,524.5,1,32432,0
51,1110474,1884.0,580.25,2,32426,0
51,1110475,1892.5,537.5,1,32426,1
51,1110476,1606.0,522.0,1,32427,0
51,1110477,1892.5,537.5,1,32427,1
51,1110478,1657.0,539.0,1,32427,2
51,1110479,1596.0,521.5,1,32427,3
51,1110480,1884.0,580.25,2,32428,0
51,1110481,1892.5,537.5,1,32428,1
51,1110482,1892.5,537.5,1,32429,0
51,1110483,1596.0,521.5,1,32429,1
51,1110484,1884.0,580.25,2,32429,2
